75601.0,24.0,44.5,8.617616495860161e+52,-1789.0
75602.0,21.8,44.8,8.631855205779463e+52,-1790.0
75603.0,22.0,45.7,8.645955572267108e+52,-1791.0
75604.0,20.5,45.5,8.660096669630029e+52,-1788.0
75605.0,21.7,44.9,8.674281112586364e+52,-1787.0
75606.0,21.2,45.6,8.688543019090796e+52,-1788.0
75607.0,21.6,44.8,8.702850405040715e+52,-1790.0
75608.0,22.2,44.2,8.717076141379709e+52,-1788.0
75609.0,23.4,45.7,8.73130611151056e+52,-1787.0
75610.0,23.5,45.1,8.745711981095841e+52,-1788.0
75611.0,23.9,44.1,8.759995913192218e+52,-1790.0
75612.0,23.4,45.2,8.774337281786764e+52,-1788.0
75613.0,24.1,44.5,8.788726883175269e+52,-1787.0
75614.0,23.7,44.1,8.803235641041943e+52,-1790.0
75615.0,22.0,45.0,8.817632417926501e+52,-1787.0
75616.0,22.4,44.7,8.832089561708431e+52,-1788.0
75617.0,23.8,45.1,8.846583308028606e+52,-1789.0
75618.0,23.2,44.8,8.861012201417063e+52,-1791.0
75619.0,24.7,45.3,8.875638300665309e+52,-1788.0
75620.0,24.8,44.6,8.890078970206263e+52,-1785.0
75621.0,23.5,45.0,8.904702600873673e+52,-1788.0
75622.0,21.4,45.6,8.919251680873876e+52,-1788.0
75623.0,21.6,44.8,8.9339057221679e+52,-1788.0
75624.0,24.1,45.8,8.948542732114455e+52,-1788.0
75625.0,23.0,44.8,8.963335275647337e+52,-1790.0
75626.0,23.1,45.4,8.977900933428972e+52,-1788.0
75627.0,22.5,43.9,8.992612117060536e+52,-1787.0
75628.0,21.8,44.2,9.007415416931196e+52,-1790.0
75629.0,22.9,45.8,9.022128872865864e+52,-1788.0
75630.0,22.4,44.6,9.037059550459293e+52,-1790.0
75631.0,23.8,45.6,9.051757075405709e+52,-1788.0
75632.0,23.7,44.2,9.066579324983873e+52,-1790.0
75633.0,23.2,44.6,9.081525556371901e+52,-1787.0
